Model,Silhouette,Davies-Bouldin,Calinski-Harabasz,Inertia
K-Means,0.25922133342702747,1.4706421592634509,3169.4309535680823,112353.69982439409
Hierarchical,0.26903049096467113,1.2698674790596371,8.206449376389838,
DBSCAN,0.2934285191793836,0.7914806920160615,480.01842507572593,
